Location,P-Code
MMR,MMR001
MMR,MMR002
MMR,MMR003
MMR,MMR004
MMR,MMR005
MMR,MMR006
MMR,MMR007
MMR,MMR008
MMR,MMR009
MMR,MMR010
MMR,MMR011
MMR,MMR012
MMR,MMR013
MMR,MMR014
MMR,MMR015
MMR,MMR016
MMR,MMR017
MMR,MMR018
MMR,MMR001D001
MMR,MMR001D002
MMR,MMR001D003
MMR,MMR001D004
MMR,MMR002D001
MMR,MMR002D002
MMR,MMR003D001
MMR,MMR003D002
MMR,MMR003D003
MMR,MMR003D004
MMR,MMR004D001
MMR,MMR004D002
MMR,MMR004D003
MMR,MMR004D004
MMR,MMR005D001
MMR,MMR005D002
MMR,MMR005D003
MMR,MMR005D004
MMR,MMR005D005
MMR,MMR005D006
MMR,MMR005D007
MMR,MMR005D008
MMR,MMR005D009
MMR,MMR005D010
MMR,MMR005D011
MMR,MMR005S001
MMR,MMR006D001
MMR,MMR006D002
MMR,MMR006D003
MMR,MMR007D001
MMR,MMR007D002
MMR,MMR008D001
MMR,MMR008D002
MMR,MMR009D001
MMR,MMR009D002
MMR,MMR009D003
MMR,MMR009D004
MMR,MMR009D005
MMR,MMR010D001
MMR,MMR010D002
MMR,MMR010D003
MMR,MMR010D004
MMR,MMR010D005
MMR,MMR010D006
MMR,MMR010D007
MMR,MMR011D001
MMR,MMR011D002
MMR,MMR012D001
MMR,MMR012D002
MMR,MMR012D003
MMR,MMR012D004
MMR,MMR012D005
MMR,MMR013D001
MMR,MMR013D002
MMR,MMR013D003
MMR,MMR013D004
MMR,MMR014D001
MMR,MMR014D002
MMR,MMR014D003
MMR,MMR014S001
MMR,MMR014S002
MMR,MMR015D001
MMR,MMR015D002
MMR,MMR015D003
MMR,MMR015D006
MMR,MMR015D007
MMR,MMR015D008
MMR,MMR015S001
MMR,MMR015S002
MMR,MMR016D001
MMR,MMR016D002
MMR,MMR016D003
MMR,MMR017D001
MMR,MMR017D002
MMR,MMR017D003
MMR,MMR017D004
MMR,MMR017D005
MMR,MMR017D006
MMR,MMR018D001
MMR,MMR018D002
AFG,AF0307
AFG,AF2404
AFG,AF0305
AFG,AF3206
AFG,AF1702
AFG,AF1105
AFG,AF0110
AFG,AF1718
AFG,AF2502
AFG,AF1006
AFG,AF08
AFG,AF33
AFG,AF1108
AFG,AF0621
AFG,AF2506
AFG,AF1707
AFG,AF3005
AFG,AF1716
AFG,AF0114
AFG,AF1303
AFG,AF1106
AFG,AF1715
AFG,AF3304
AFG,AF2207
AFG,AF2910
AFG,AF0902
AFG,AF1813
AFG,AF1116
AFG,AF0906
AFG,AF3404
AFG,AF0807
AFG,AF1401
AFG,AF3012
AFG,AF1605
AFG,AF3209
AFG,AF0622
AFG,AF18
AFG,AF2805
AFG,AF1209
AFG,AF1703
AFG,AF2114
AFG,AF10
AFG,AF0903
AFG,AF1406
AFG,AF3107
AFG,AF3201
AFG,AF2702
AFG,AF0501
AFG,AF0804
AFG,AF0806
AFG,AF0606
AFG,AF0618
AFG,AF0310
AFG,AF1402
AFG,AF3403
AFG,AF2704
AFG,AF2308
AFG,AF0109
AFG,AF3006
AFG,AF0908
AFG,AF0617
AFG,AF1409
AFG,AF3207
AFG,AF2911
AFG,AF0115
AFG,AF0106
AFG,AF2810
AFG,AF0616
AFG,AF22
AFG,AF2610
AFG,AF1905
AFG,AF0602
AFG,AF1717
AFG,AF0309
AFG,AF3211
AFG,AF1202
AFG,AF1308
AFG,AF1204
AFG,AF0911
AFG,AF0901
AFG,AF2507
AFG,AF1503
AFG,AF2705
AFG,AF1906
AFG,AF1720
AFG,AF0909
AFG,AF15
AFG,AF0912
AFG,AF3105
AFG,AF2713
AFG,AF0104
AFG,AF0303
AFG,AF3310
AFG,AF2305
AFG,AF1213
AFG,AF1412
AFG,AF0704
AFG,AF2111
AFG,AF1723
AFG,AF1001
AFG,AF1107
AFG,AF2811
AFG,AF0701
AFG,AF2606
AFG,AF1112
AFG,AF2711
AFG,AF2504
AFG,AF0503
AFG,AF1806
AFG,AF2004
AFG,AF2503
AFG,AF2104
AFG,AF2103
AFG,AF3208
AFG,AF2307
AFG,AF2909
AFG,AF0907
AFG,AF1114
AFG,AF2112
AFG,AF3011
AFG,AF1111
AFG,AF2904
AFG,AF2110
AFG,AF1510
AFG,AF1608
AFG,AF3001
AFG,AF2901
AFG,AF0914
AFG,AF2302
AFG,AF2801
AFG,AF0105
AFG,AF2006
AFG,AF0304
AFG,AF0308
AFG,AF2802
AFG,AF0306
AFG,AF0905
AFG,AF0102
AFG,AF2401
AFG,AF1118
AFG,AF1512
AFG,AF1109
AFG,AF2501
AFG,AF0608
AFG,AF1721
AFG,AF0904
AFG,AF2905
AFG,AF2109
AFG,AF3106
AFG,AF0619
AFG,AF0507
AFG,AF2716
AFG,AF2406
AFG,AF1210
AFG,AF0614
AFG,AF2202
AFG,AF0801
AFG,AF0202
AFG,AF3309
AFG,AF2310
AFG,AF1007
AFG,AF1411
AFG,AF3212
AFG,AF2107
AFG,AF07
AFG,AF1816
AFG,AF2608
AFG,AF0408
AFG,AF1810
AFG,AF0404
AFG,AF1506
AFG,AF2007
AFG,AF0302
AFG,AF3307
AFG,AF2708
AFG,AF1712
AFG,AF1005
AFG,AF0402
AFG,AF1515
AFG,AF3402
AFG,AF0205
AFG,AF1203
AFG,AF1311
AFG,AF0111
AFG,AF1811
AFG,AF1711
AFG,AF01
AFG,AF1812
AFG,AF21
AFG,AF0604
AFG,AF1607
AFG,AF30
AFG,AF14
AFG,AF3002
AFG,AF1214
AFG,AF0504
AFG,AF0203
AFG,AF3205
AFG,AF3301
AFG,AF2906
AFG,AF2602
AFG,AF0611
AFG,AF3009
AFG,AF2611
AFG,AF27
AFG,AF0607
AFG,AF1901
AFG,AF1103
AFG,AF2407
AFG,AF1408
AFG,AF29
AFG,AF0803
AFG,AF09
AFG,AF1002
AFG,AF2304
AFG,AF3013
AFG,AF3103
AFG,AF0609
AFG,AF1805
AFG,AF0502
AFG,AF1507
AFG,AF1807
AFG,AF1307
AFG,AF0613
AFG,AF2712
AFG,AF34
AFG,AF1903
AFG,AF3007
AFG,AF2101
AFG,AF1728
AFG,AF12
AFG,AF0702
AFG,AF1207
AFG,AF1722
AFG,AF0407
AFG,AF3401
AFG,AF25
AFG,AF2907
AFG,AF1714
AFG,AF0204
AFG,AF2201
AFG,AF0610
AFG,AF1413
AFG,AF2203
AFG,AF2116
AFG,AF2405
AFG,AF2403
AFG,AF1719
AFG,AF2005
AFG,AF1301
AFG,AF0207
AFG,AF2603
AFG,AF1003
AFG,AF3311
AFG,AF1208
AFG,AF0405
AFG,AF2106
AFG,AF1101
AFG,AF2609
AFG,AF1211
AFG,AF11
AFG,AF3102
AFG,AF1709
AFG,AF3210
AFG,AF2408
AFG,AF26
AFG,AF05
AFG,AF1603
AFG,AF3213
AFG,AF2301
AFG,AF2402
AFG,AF0505
AFG,AF2710
AFG,AF1218
AFG,AF2809
AFG,AF1403
AFG,AF1004
AFG,AF0603
AFG,AF1725
AFG,AF2714
AFG,AF1803
AFG,AF1117
AFG,AF2605
AFG,AF0107
AFG,AF1701
AFG,AF1809
AFG,AF1508
AFG,AF3104
AFG,AF0601
AFG,AF2803
AFG,AF3302
AFG,AF1817
AFG,AF2604
AFG,AF3202
AFG,AF1804
AFG,AF1119
AFG,AF1713
AFG,AF2806
AFG,AF3214
AFG,AF24
AFG,AF1206
AFG,AF1904
AFG,AF17
AFG,AF3203
AFG,AF1219
AFG,AF2706
AFG,AF1502
AFG,AF2703
AFG,AF3216
AFG,AF3010
AFG,AF2306
AFG,AF1310
AFG,AF0401
AFG,AF0108
AFG,AF1115
AFG,AF1113
AFG,AF1410
AFG,AF1104
AFG,AF1601
AFG,AF0201
AFG,AF1814
AFG,AF2701
AFG,AF3101
AFG,AF2309
AFG,AF1212
AFG,AF2115
AFG,AF2505
AFG,AF2902
AFG,AF1405
AFG,AF2601
AFG,AF3003
AFG,AF1704
AFG,AF2108
AFG,AF0409
AFG,AF2807
AFG,AF0915
AFG,AF2709
AFG,AF3405
AFG,AF1102
AFG,AF1907
AFG,AF2908
AFG,AF04
AFG,AF1511
AFG,AF1217
AFG,AF1726
AFG,AF2003
AFG,AF1602
AFG,AF2715
AFG,AF1724
